Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Central Europe and the Baltics,CEB,,,,,,,,,,,2.62E+11,2.43E+11,2.59E+11,2.73E+11,3.09E+11,3.93E+11,4.15E+11,4.09E+11,4.48E+11,4.34E+11
Switzerland,CHE,1.19E+11,1.09E+11,1.12E+11,1.11E+11,1.06E+11,1.08E+11,1.54E+11,1.93E+11,2.09E+11,2.02E+11,2.58E+11,2.61E+11,2.72E+11,2.64E+11,2.93E+11,3.43E+11,3.30E+11,2.87E+11,2.95E+11,2.90E+11
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,5945677377,6262740657
Chile,CHL,29036709872,34509878044,25325893206,20355959237,19622527480,17702885394,18891048819,22255407685,26040229793,29885685143,33113887818,37834793730,45964327559,49297773130,57008425296,73447063319,78039572222,84952360922,81577430181,75173794497
China,CHN,1.91E+11,1.96E+11,2.05E+11,2.31E+11,2.60E+11,3.09E+11,3.01E+11,2.73E+11,3.12E+11,3.48E+11,3.61E+11,3.83E+11,4.27E+11,4.45E+11,5.64E+11,7.35E+11,8.64E+11,9.62E+11,1.03E+12,1.09E+12
Cote d'Ivoire,CIV,10175615442,8432588484,7567109767,6838185419,6841638715,6977650069,9158302205,10087653189,10255170460,9757410614,10795850107,10492628915,11152971316,11045759469,8313557450,11000146839,12139234939,11722142706,12612033729,12376639823
Cameroon,CMR,6740756569,7636345827,7322914570,7381854747,7801858825,8148223604,10621158533,12302471429,12493286762,11140055364,11151578051,12434370005,11396310990,15498179313,10600157684,9643953175,10513387442,10833497458,10612847429,11198378749
"Congo, Dem. Rep.",COD,14394927495,12537821038,13651667371,11006712650,7857729193,7195042616,8095367168,7661625473,8861299977,9021862775,9349764580,9625436873,8227343907,10706259937,5820382248,5643439376,5771454940,6090840548,6215591270,4711259427
"Congo, Rep.",COG,1705796850,1993512326,2160640567,2097274290,2193581366,2160872541,1849268215,2297753649,2212536313,2389593022,2798746051,2724853593,2933222714,1918970032,1769365425,2116003978,2540697688,2322718991,1949481297,2353909564
Colombia,COL,33400735644,36388366869,38968039722,38729822782,38253120738,34894411352,34942489684,36373307085,39212550050,39540080200,47844090710,49175565911,58418985443,66446804803,81703500846,92507279383,97160109278,1.07E+11,98443739941,86186158685
Comoros,COM,212218226.4,196349967.7,184008995.6,191621958.4,184697210,196726077.1,279197696.8,337525870.6,356500026.7,341476764,429622147.7,424108796.6,457388578.9,452881443.1,319189200.4,398461789.6,396053797.6,364445589.7,370106776,382454989.9
Cabo Verde,CPV,142246875.5,139468114.6,140630758.6,138476239.4,132019065,137728155.2,190651208,235253171.8,264308140.3,267448513.1,306891107.3,319827058.6,357160985.3,490417389.7,406580652.3,487148993.5,501979069.3,490608657.9,521910560.5,592416703.1
Costa Rica,CRI,4831447001,2623807074,2606621255,3146770104,3660476459,3919203960,4418983871,4532952047,4614629898,5251025767,5711687787,7168999670,8528593421,9537297723,10432619325,11513472786,11618286652,12552071488,13617405297,14195623343
Caribbean small states,CSS,13495267685,14890318684,16517826893,16735577942,15982827538,15814749078,14441278122,15521748105,16459864029,16872895994,18011674585,17843522924,17570521376,18998042394,19981133734,22033816335,24055637180,28177580886,30105049029,31909169732
Cuba,CUB,19912889861,20150254096,20953510235,22204940512,24039383608,22920490774,24226574634,25213935012,27458999472,27023468666,28645436569,24316556026,22085858243,22367254865,28448326757,30429803651,25017368700,25365908100,25736331200,28364615200
Curacao,CUW,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,2154311277,2087496374,2159242417,2160364071,2278248953,2430411900,3090734463,3704813886,4278792597,4563482604,5591130218,5770197348,6912150456,6590291048,7425703929,9933133247,10011918444,9547818700,10248617647,10497908306
Czech Republic,CZE,,,,,,,,,,,40477403220,29675502270,34590052812,40614350197,47554674591,59775697061,66985765439,61792161168,66490372105,64867483193
Germany,DEU,9.50E+11,8.00E+11,7.77E+11,7.71E+11,7.25E+11,7.33E+11,1.05E+12,1.30E+12,1.40E+12,1.40E+12,1.77E+12,1.87E+12,2.13E+12,2.07E+12,2.21E+12,2.59E+12,2.50E+12,2.21E+12,2.24E+12,2.19E+12
Djibouti,DJI,,,,,,340989528,,373371738.3,395794538.6,409220087.1,452328087.3,462421998.5,478058304.9,466048469.2,491689220.7,497723960.6,494004647.7,502675542,514267869.3,536080148.1
Dominica,DMA,72804653.33,82107391.11,89527576.67,98665191.48,109157070.7,119491933,135161958.5,151868754.4,171106184.1,185137243,201428730,219763222.2,234058259.3,245527592.6,264375666.7,274522148.1,292286000,302989185.2,322409851.9,331759000
Denmark,DNK,71127528700,61877813965,60412844679,60644782176,59105236854,62658568287,88078760104,1.09E+11,1.16E+11,1.12E+11,1.38E+11,1.39E+11,1.53E+11,1.43E+11,1.56E+11,1.85E+11,1.88E+11,1.74E+11,1.77E+11,1.78E+11
Dominican Republic,DOM,6761300000,7561300000,8267400000,9220600000,11594000000,5044592945,6122198120,5826987099,5374314928,6686593060,7073675545,9734321854,11356271336,13081042400,14664237667,16598679279,18241691857,20017908829,21672526563,22137599986
Algeria,DZA,42345277342,44348672668,45207088716,48801369800,53698278906,57937868670,63696301893,66742267773,59089067187,55631489802,62045099643,45715367087,48003298223,49946455211,42542571306,41764052458,46941496780,48177862502,48187747529,48640610449
East Asia & Pacific (excluding high income),EAP,3.75E+11,4.00E+11,4.20E+11,4.40E+11,4.78E+11,5.24E+11,5.22E+11,5.16E+11,5.72E+11,6.19E+11,6.63E+11,7.19E+11,8.06E+11,8.85E+11,1.06E+12,1.31E+12,1.51E+12,1.56E+12,1.43E+12,1.58E+12
Early-demographic dividend,EAR,1.30E+12,1.45E+12,1.38E+12,1.39E+12,1.38E+12,1.41E+12,1.43E+12,1.43E+12,1.53E+12,1.55E+12,1.82E+12,1.93E+12,2.12E+12,2.32E+12,2.43E+12,2.49E+12,2.72E+12,2.91E+12,2.87E+12,3.04E+12
East Asia & Pacific,EAS,1.81E+12,2.00E+12,1.96E+12,2.08E+12,2.23E+12,2.36E+12,3.08E+12,3.62E+12,4.35E+12,4.53E+12,4.74E+12,5.35E+12,5.84E+12,6.54E+12,7.31E+12,8.31E+12,8.00E+12,7.66E+12,6.87E+12,7.67E+12
Europe & Central Asia (excluding high income),ECA,,,,,,,,,8.63E+11,8.35E+11,8.94E+11,8.72E+11,8.04E+11,7.88E+11,6.77E+11,7.23E+11,7.30E+11,7.62E+11,7.06E+11,5.92E+11
Europe & Central Asia,ECS,4.60E+12,4.09E+12,3.94E+12,3.82E+12,3.68E+12,3.80E+12,5.19E+12,6.42E+12,7.14E+12,7.24E+12,8.85E+12,9.13E+12,9.79E+12,8.99E+12,9.40E+12,1.09E+13,1.11E+13,1.05E+13,1.08E+13,1.07E+13
Ecuador,ECU,17881514683,21810767209,19929853575,17152483214,16912515183,17149094590,15314143988,13945431882,13051886552,13890828708,15239278100,16988535268,18094238119,18938717359,22708673337,24432884442,25226393197,28162053027,27981896948,19645272636
"Egypt, Arab Rep.",EGY,21669908177,22136081081,27655172414,30966239814,33971188992,39053502251,41253507951,40455616654,34980124929,39756299050,42978914311,37387836491,41855986519,46578631453,51897983393,60159245060,67629716981,78436578171,84828807556,90710704807
Euro area,EMU,2.96E+12,2.58E+12,2.49E+12,2.43E+12,2.33E+12,2.40E+12,3.36E+12,4.16E+12,4.58E+12,4.67E+12,5.88E+12,6.11E+12,6.74E+12,6.17E+12,6.51E+12,7.52E+12,7.61E+12,6.95E+12,7.15E+12,7.11E+12
Eritrea,ERI,,,,,,,,,,,,,477101651.6,467872714.8,531688311.7,578015625,693535954.2,686490090.1,745526154.9,688921325.7
Spain,ESP,2.33E+11,2.03E+11,1.96E+11,1.71E+11,1.72E+11,1.81E+11,2.51E+11,3.19E+11,3.76E+11,4.15E+11,5.37E+11,5.77E+11,6.31E+11,5.25E+11,5.31E+11,6.15E+11,6.43E+11,5.90E+11,6.19E+11,6.35E+11
Estonia,EST,,,,,,,,,,,,,,4006982535,4116735207,4497823918,4780169853,5147711226,5665917232,5762048126
Ethiopia,ETH,,7324903188,7707678019,8567890821,8096302367,9480840483,9848600870,10527338647,10908935749,11476584879,12175166763,13463868357,10492993078,8830712714,6927950565,7663984568,8547939731,8589211390,7818224906,7700833482
European Union,EUU,3.30E+12,2.88E+12,2.78E+12,2.70E+12,2.60E+12,2.68E+12,3.75E+12,4.63E+12,5.09E+12,5.20E+12,6.50E+12,6.73E+12,7.40E+12,6.76E+12,7.16E+12,8.30E+12,8.43E+12,7.73E+12,7.97E+12,7.92E+12
Fragile and conflict affected situations,FCS,1.76E+11,2.46E+11,2.35E+11,1.98E+11,1.78E+11,1.82E+11,1.70E+11,1.70E+11,1.80E+11,1.65E+11,2.60E+11,2.69E+11,2.68E+11,2.49E+11,2.40E+11,2.78E+11,2.89E+11,3.22E+11,3.24E+11,3.50E+11
Finland,FIN,53645202423,52448332874,52797582336,50973526900,52888800950,55875863392,73531550551,91594751792,1.09E+11,1.19E+11,1.41E+11,1.28E+11,1.13E+11,89214114708,1.03E+11,1.34E+11,1.32E+11,1.27E+11,1.34E+11,1.35E+11
Fiji,FJI,1202567359,1235899836,1194015444,1123107276,1177997414,1141210125,1290228617,1177908192,1109976928,1182686577,1337024782,1383843860,1531803061,1635426125,1825285158,1970347721,2129266728,2093994597,1656784780,1942170999
France,FRA,7.01E+11,6.16E+11,5.85E+11,5.60E+11,5.31E+11,5.53E+11,7.71E+11,9.34E+11,1.02E+12,1.03E+12,1.27E+12,1.27E+12,1.40E+12,1.32E+12,1.39E+12,1.60E+12,1.61E+12,1.45E+12,1.50E+12,1.49E+12
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,1107882641,1120280382
"Micronesia, Fed. Sts.",FSM,,,,106500000,,,112210000,116700000,124700000,135200000,147200000,166200000,178100000,198400000,202500000,221575300,218534700,206626300,218873100,220140500
Gabon,GAB,4279637934,3862269127,3618007844,3391275731,3561451562,3339914759,3403638194,3281797039,3834503378,4186411457,5952293766,5402919957,5592390849,4378645081,4190819314,4958845906,5694040337,5326816859,4483417120,4662992036
United Kingdom,GBR,5.65E+11,5.41E+11,5.15E+11,4.90E+11,4.61E+11,4.89E+11,6.01E+11,7.45E+11,9.10E+11,9.27E+11,1.09E+12,1.14E+12,1.18E+12,1.06E+12,1.14E+12,1.34E+12,1.42E+12,1.56E+12,1.65E+12,1.68E+12
Georgia,GEO,,,,,,,,,,,7753501868,6357615894,3690328964,2701181331,2513870587,2693731866,3094935187,3510520231,3613498175,2800026339
Ghana,GHA,4445228216,4222441615,4035994398,4057275043,4412279843,4504342149,5727602645,5074829932,5197840979,5251764264,5889174825,6596546196,6413901602,5966255778,5444560669,6465137615,6934984709,6891308594,7480968858,7719354839
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,,,,,1922600899,2041538057,2384295764,2432029380,2666616177,3014890569,3284625277,3279063318,3383218923,3693753379,3869032271,3783788551,3588376057,3461282294
"Gambia, The",GMB,241080708.9,218764445.8,216051496,213446562.6,177338801.9,225724851.7,185646209.4,220626484.2,266673126.2,284119692.5,317083373.5,690314321.4,714255460.5,755042548.1,746491692.6,785996982.5,848237108.6,803630742.5,840285264.6,814723460.1
Guinea-Bissau,GNB,110653830.7,154731969.7,165523634.5,163577538.3,138478900.6,143856253.1,130225018.8,173836362,164458120.3,213143016.4,243961995.5,257150374.1,226313443.7,236880821.7,235620043.5,253966922.3,270419779.4,268550998.2,206457544.5,224446663.8
Equatorial Guinea,GNQ,50642880.77,36731422.85,44294647.73,44442456.95,50320914.41,62118564.85,76407396.76,93345847.73,100534663.3,88265974.58,112119406.5,110906032.1,134707184.4,136047896.2,100807001.8,141853368.3,232463036.4,442337849.5,370687618.7,621117885.7
Greece,GRC,56829663469,52346507380,54617991327,49428872678,48020024788,47820850975,56379593720,65652751132,76261278405,79169043642,97891090929,1.05E+11,1.16E+11,1.09E+11,1.17E+11,1.37E+11,1.46E+11,1.43E+11,1.44E+11,1.43E+11
Grenada,GRD,110900457,115651918.9,125435590,131803552.2,145533310.7,167728455.2,187589522.6,215009569.6,236357523.7,267327642.2,278098763,300757888.9,310160444.4,309812185.2,325111814.8,342172518.5,366911444.4,392190592.6,445903592.6,482009370.4
Greenland,GRL,476055288.4,435746974.8,402405069.4,416183706.9,379371608.4,412876071.1,603015696.5,787392365.8,898611007.9,929796722.4,1018970365,1016493395,1037921837,927219728.9,1005879948,1208946166,1197509787,1072147778,1149862703,1131561595
Guatemala,GTM,7878700000,8607500300,8716999700,9050000400,9470000100,9721652087,7231963516,7084399840,7841602824,8410724361,7650125217,9406097735,10440842165,11399942453,12983235568,14655404433,15674835615,17790026222,19395491993,18318412251
Guam,GUM,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,603200000,570357107.1,482000000,489333333.3,437631605.3,453488372.1,504651139.5,354591846.9,413799990,379779389.7,396582263.3,348533094.8,373573141.5,454101382.5,540874934.2,621626785.9,705406001.4,749138009.6,717530683.2,694754988.3
High income,HIC,8.95E+12,9.09E+12,9.00E+12,9.30E+12,9.70E+12,1.02E+13,1.24E+13,1.43E+13,1.61E+13,1.69E+13,1.90E+13,2.01E+13,2.16E+13,2.17E+13,2.33E+13,2.59E+13,2.61E+13,2.57E+13,2.58E+13,2.71E+13
"Hong Kong SAR, China",HKG,28861759209,31055409443,32291306282,29907091340,33511383986,35699543051,41075570592,50622571586,59707404561,68790369107,76928290842,88959620136,1.04E+11,1.20E+11,1.36E+11,1.45E+11,1.60E+11,1.77E+11,1.69E+11,1.66E+11
Honduras,HND,3968160046,4043894879,4266503526,4476697185,4915311846,5278120713,5677828959,6190521241,5902717092,5432344902,4923009552,4648668479,4943700431,4926728933,4642280682,5347445005,5215028986,5737099650,6366340266,6414520530
Heavily indebted poor countries (HIPC),HPC,1.09E+11,1.09E+11,1.09E+11,1.03E+11,1.03E+11,1.07E+11,1.23E+11,1.38E+11,1.38E+11,1.33E+11,1.38E+11,1.41E+11,1.29E+11,1.33E+11,1.17E+11,1.34E+11,1.40E+11,1.46E+11,1.54E+11,1.55E+11
Croatia,HRV,,,,,,,,,,,,,,,,22417412251,23710205734,23854819336,25466974683,23400452775
Haiti,HTI,1383800000,1479400000,1474200000,1623600000,1816200000,2009400000,2318000000,2047200000,2613926800,2736243800,3096289800,3473540602,2257121668,1878248741,2167564195,2813313279,2907514523,3338938830,3723909227,4153736347
Hungary,HUN,,,,,,,,,,,,34753569690,38730585921,40124916945,43166678731,46425677734,46658755152,47296952929,48706787306,49073380174
IBRD only,IBD,2.21E+12,2.40E+12,2.38E+12,2.34E+12,2.40E+12,2.53E+12,2.63E+12,2.69E+12,2.91E+12,3.02E+12,3.46E+12,3.73E+12,3.71E+12,3.98E+12,4.35E+12,4.89E+12,5.35E+12,5.66E+12,5.51E+12,5.34E+12
IDA & IBRD total,IBT,2.49E+12,2.81E+12,2.77E+12,2.66E+12,2.69E+12,2.83E+12,2.93E+12,3.00E+12,3.23E+12,3.34E+12,3.80E+12,4.07E+12,4.05E+12,4.30E+12,4.66E+12,5.25E+12,5.74E+12,6.07E+12,5.92E+12,5.77E+12
IDA total,IDA,2.80E+11,4.13E+11,3.89E+11,3.25E+11,2.99E+11,3.07E+11,3.02E+11,3.19E+11,3.26E+11,3.19E+11,3.42E+11,3.48E+11,3.36E+11,3.20E+11,3.10E+11,3.55E+11,3.90E+11,4.05E+11,4.10E+11,4.22E+11
IDA blend,IDB,1.26E+11,2.44E+11,2.23E+11,1.69E+11,1.45E+11,1.45E+11,1.30E+11,1.33E+11,1.38E+11,1.33E+11,1.45E+11,1.48E+11,1.47E+11,1.31E+11,1.35E+11,1.55E+11,1.72E+11,1.76E+11,1.73E+11,1.81E+11
Indonesia,IDN,72482337370,85518233451,90158449307,81052283405,84853699994,85289491750,79954072570,75929617577,84300174477,94451427898,1.06E+11,1.17E+11,1.28E+11,1.58E+11,1.77E+11,2.02E+11,2.27E+11,2.16E+11,95445547873,1.40E+11
IDA only,IDX,1.53E+11,1.56E+11,1.55E+11,1.50E+11,1.50E+11,1.59E+11,1.71E+11,1.85E+11,1.87E+11,1.85E+11,1.97E+11,1.99E+11,1.88E+11,1.89E+11,1.74E+11,1.98E+11,2.17E+11,2.27E+11,2.36E+11,2.40E+11
Isle of Man,IMN,,,,,,,,,,,,,,,,914727080.6,1023086919,1180919719,1382548250,1567465657
India,IND,1.86E+11,1.93E+11,2.01E+11,2.18E+11,2.12E+11,2.33E+11,2.49E+11,2.79E+11,2.97E+11,2.96E+11,3.21E+11,2.70E+11,2.88E+11,2.79E+11,3.27E+11,3.60E+11,3.93E+11,4.16E+11,4.21E+11,4.59E+11
Not classified,INX,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,21773901117,20694944099,21500471384,20790917197,20130728188,21295485800,28748959623,33961141386,37818133293,39285383971,49364679953,49847127139,55985505025,52480251773,57166035571,69222624369,75880630166,82826141595,90082051923,98692079267
"Iran, Islamic Rep.",IRN,94362275580,1.00E+11,1.26E+11,1.56E+11,1.62E+11,1.80E+11,2.09E+11,1.34E+11,1.23E+11,1.20E+11,1.25E+11,,,63743623232,71841461173,96419225744,1.20E+11,1.14E+11,1.10E+11,1.14E+11
Iraq,IRQ,53405689130,38424991534,42595309883,40595046639,46802508845,48284979093,47127693792,56609842393,62503055645,65641363783,1.80E+11,,,,,,,,,
Iceland,ISL,3386501918,3498247432,3211446626,2770107923,2868747035,2988537806,3995619693,5528616190,6115814935,5681096096,6478459747,6920116563,7091625419,6227928906,6399064571,7134341218,7438183247,7580988978,8494094899,8971608730
Israel,ISR,24164509804,25579228070,27837510288,31092229537,29160458731,27504906778,34097559618,40963276308,50099378323,49901963212,59011274626,67558012988,75607006994,75985901276,86342656604,1.00E+11,1.10E+11,1.15E+11,1.16E+11,1.17E+11
Italy,ITA,4.77E+11,4.31E+11,4.27E+11,4.43E+11,4.38E+11,4.52E+11,6.40E+11,8.06E+11,8.92E+11,9.29E+11,1.18E+12,1.25E+12,1.32E+12,1.06E+12,1.10E+12,1.17E+12,1.31E+12,1.24E+12,1.27E+12,1.25E+12
Jamaica,JAM,2679409453,2979061412,3293533288,3619294121,2373566957,2100223150,2754566176,3286987552,3828310735,4404970059,4592224067,4071219198,3530892749,5405097571,5419134875,6538840170,7368000000,8375077443,8763219645,8851581633
Jordan,JOR,3910036925,4384685230,4680567376,4920407601,4966710013,4993829194,6401380000,6755599114,6277197435,4220945005,4160003917,4344250257,5390688438,5685784384,6326420495,6821989155,7024203103,7347574048,8023356841,8263921016
Japan,JPN,1.11E+12,1.22E+12,1.13E+12,1.24E+12,1.32E+12,1.40E+12,2.08E+12,2.53E+12,3.07E+12,3.05E+12,3.13E+12,3.58E+12,3.91E+12,4.45E+12,4.91E+12,5.45E+12,4.83E+12,4.41E+12,4.03E+12,4.56E+12
Kazakhstan,KAZ,,,,,,,,,,,26932728899,24881135586,24906939560,23409027476,21250839258,20374307047,21035357833,22165932063,22135245413,16870817135
Kenya,KEN,7265315332,6854491454,6431579357,5979198464,6191437070,6135034338,7239126717,7970820531,8355380879,8283114648,8572359163,8151479004,8209129172,5751789915,7148145376,9046326060,12045858436,13115773738,14093998844,12896013577
Kyrgyz Republic,KGZ,,,,,,,,,,,2675000000,2569444444,2316562500,2028295455,1681006993,1661018519,1827570586,1767864036,1645963750,1249061487
Cambodia,KHM,,,,,,,,,,,,,,2533727592,2791435272,3441205693,3506695720,3443413389,3120425503,3517242477
Kiribati,KIR,38715554.54,41369800.05,40572066.13,37837837.84,41246160.6,32125148.4,32085561.5,33608738.27,42972107.2,41119721.65,39809538.68,47515189.28,47737955.35,46919624.64,54832577.86,56338028.17,66515376.79,67537479.59,65334841.06,69032258.06
St. Kitts and Nevis,KNA,68459214.07,80890204.81,86021798.52,86875571.48,98603924.81,111008962.2,130684579.6,147748773.3,172692174.4,192517321.9,217258907.8,220539518.5,242135407.4,263754666.7,295157666.7,313483370.4,333946111.1,374640307,383257146,406597041.5
